,area_metro_quadrado_int,quartos_int,banheiros_int,vagas_int,preco_anuncio_float
2768,890,4,7,7,4600000.0
2769,435,4,6,6,4500000.0
2770,580,4,4,3,9000000.0
2771,166,4,5,2,5400000.0
2772,274,3,4,6,1050000.0
2773,350,3,5,7,5500000.0
2774,200,2,1,1,850000.0
2775,320,3,2,4,1700000.0
2776,547,3,4,3,2500000.0
2777,280,4,3,2,1750000.0
2778,160,3,4,3,2900000.0
2780,240,5,3,2,2580000.0
2781,156,3,3,2,1000000.0
2782,113,2,2,2,890000.0
2783,456,4,7,4,4500000.0
2784,320,4,4,6,2500000.0
2785,589,3,4,6,5500000.0
2786,100,3,2,3,480000.0
2787,670,5,9,10,4600000.0
2788,100,3,2,1,1970000.0
2789,600,4,2,8,8000000.0
2790,301,4,5,4,4200000.0
2791,128,3,2,3,730000.0
2792,717,5,4,6,4400000.0
2793,900,4,4,5,5000000.0
2794,400,3,5,3,3100000.0
2795,250,3,2,4,1600000.0
2796,300,4,4,4,5500000.0
2797,395,4,3,5,6000000.0
2798,160,3,2,1,421000.0
2799,80,3,3,1,1150000.0
2801,430,3,4,1,3900000.0
2802,530,4,5,6,3800000.0
2803,390,3,4,5,5500000.0
2804,90,3,2,1,490000.0
2806,560,4,5,4,9040000.0
2808,384,4,5,2,1100000.0
2809,120,3,2,2,590000.0
2810,390,3,3,3,1400000.0
2811,600,4,7,5,2500000.0
2812,570,5,5,2,3210000.0
2813,330,4,3,6,1900000.0
2814,388,3,4,6,1500000.0
2815,300,4,3,3,2120000.0
2816,160,3,1,3,1200000.0
2817,250,4,5,5,1600000.0
2818,989,5,5,5,12000000.0
2819,120,2,2,1,1600000.0
2820,700,4,6,4,12000000.0
2823,379,3,5,3,2300000.0
2824,230,3,5,3,2200000.0
2825,723,3,3,4,16500000.0
2826,120,3,3,1,905000.0
2828,150,3,2,2,930000.0
2829,622,4,6,6,5000000.0
2830,389,3,5,5,1690000.0
2833,793,4,4,5,2680000.0
2834,350,4,3,4,3500000.0
2835,720,5,6,6,4800000.0
2837,400,3,3,3,5500000.0
2838,450,3,4,5,3600000.0
2839,700,4,7,8,5000000.0
2840,340,4,2,5,5000000.0
2841,315,4,5,5,5400000.0
2842,196,4,2,2,1500000.0
2843,280,3,3,5,2950000.0
2844,800,4,8,4,3950000.0
2845,589,4,7,6,4300000.0
2846,286,3,5,4,1950000.0
2848,300,4,4,3,2500000.0
2849,388,3,2,4,1900000.0
2850,251,3,5,3,1700000.0
2851,350,4,6,4,4074000.0
2852,1100,5,6,8,1950000.0
2853,170,3,2,3,680000.0
